03,January,2021
rank,name,perc1hour,price,volume
1,Bitcoin,-0.61%,"$32,782.02","$78,665,235,201.84"
2,Ethereum,-1.39%,$975.51,"$45,200,463,368.21"
3,Tether,-0.01%,$1.00,"$120,425,679,796.27"
4,Litecoin,1.96%,$160.19,"$15,385,661,270.67"
5,XRP,0.05%,$0.2258,"$5,109,898,871.42"
6,Polkadot,-1.82%,$10.03,"$3,032,883,074.26"
7,Bitcoin Cash,2.39%,$421.79,"$7,273,123,206.61"
8,Cardano,2.21%,$0.205,"$2,303,857,908.87"
9,Binance Coin,0.80%,$41.15,"$758,008,613.17"
10,Chainlink,-1.95%,$13.65,"$2,298,964,833.06"
11,USD Coin,0.01%,$0.9997,"$1,828,596,898.69"
12,Wrapped Bitcoin,-0.53%,"$33,008.13","$317,864,544.05"
13,Bitcoin SV,0.60%,$171.39,"$724,762,386.40"
14,Stellar,1.68%,$0.1364,"$694,141,229.00"
15,EOS,0.11%,$2.80,"$4,016,977,942.27"
16,Monero,-0.57%,$138.06,"$1,234,835,529.46"
17,THETA,-2.52%,$2.12,"$216,740,061.08"
18,TRON,0.31%,$0.02949,"$1,496,675,629.12"
19,NEM,0.58%,$0.2105,"$156,961,703.95"
20,VeChain,3.13%,$0.02592,"$697,803,739.84"
21,Tezos,0.48%,$2.13,"$312,112,831.99"
22,Celsius,-0.16%,$6.49,"$30,908,871.03"
23,Uniswap,1.86%,$5.45,"$2,184,123,152.72"
24,UNUS SED LEO,-0.02%,$1.35,"$10,087,326.90"
25,Crypto.com Coin,-0.55%,$0.05976,"$64,754,574.33"
26,Dogecoin,-2.54%,$0.009771,"$2,707,003,608.30"
27,Cosmos,0.91%,$5.81,"$525,732,595.92"
28,Dai,0.00%,$1.00,"$537,297,795.96"
29,Binance USD,0.00%,$0.9999,"$2,762,332,407.20"
30,Neo,1.61%,$15.96,"$644,824,666.47"
31,Aave,0.15%,$91.10,"$298,884,107.12"
32,Synthetix,0.84%,$9.48,"$155,007,356.50"
33,Revain,-0.08%,$0.01165,"$7,100,385.59"
34,Huobi Token,-0.86%,$4.90,"$224,149,933.80"
35,Filecoin,-0.02%,$21.43,"$272,432,559.58"
36,Dash,0.48%,$89.07,"$724,060,415.97"
37,IOTA,0.90%,$0.3095,"$36,641,055.94"
38,Ethereum Classic,-0.15%,$6.56,"$1,377,349,497.20"
39,Zilliqa,-1.46%,$0.06795,"$296,839,778.57"
40,yearn.finance,1.65%,"$23,708.23","$629,625,452.30"
41,Maker,-0.78%,$678.72,"$110,201,825.29"
42,FTX Token,-0.95%,$6.92,"$31,046,652.87"
43,Compound,-1.16%,$146.20,"$164,874,016.20"
44,Zcash,0.00%,$59.22,"$663,264,324.24"
45,SushiSwap,-0.89%,$3.44,"$410,863,381.14"
46,Kusama,-0.21%,$72.57,"$105,899,926.30"
47,Decred,-3.84%,$48.00,"$18,473,383.19"
48,Waves,-1.85%,$5.51,"$162,970,642.09"
49,Algorand,2.96%,$0.4228,"$263,098,397.61"
50,UMA,-0.01%,$8.50,"$18,650,712.63"
51,OKB,-0.67%,$7.55,"$385,009,075.63"
52,DigiByte,4.31%,$0.03249,"$63,537,010.96"
53,OMG Network,10.86%,$3.04,"$325,168,905.00"
54,renBTC,-0.94%,"$32,915.28","$58,942,013.01"
55,Ontology,1.10%,$0.5006,"$131,479,263.45"
56,Elrond,0.59%,$27.16,"$51,460,187.54"
57,The Graph,-1.94%,$0.2967,"$196,258,222.08"
58,Nexo,-1.20%,$0.6099,"$16,502,637.11"
59,Blockstack,0.12%,$0.4807,"$168,849.61"
60,Basic Attention Token,0.70%,$0.2165,"$186,119,340.34"
61,Loopring,12.76%,$0.2725,"$73,010,483.74"
62,Terra,0.20%,$0.6619,"$32,764,781.09"
63,BitTorrent,-0.50%,$0.0003133,"$126,832,149.12"
64,Reserve Rights,-3.78%,$0.03267,"$343,216,638.56"
65,Ren,-0.59%,$0.3332,"$82,186,903.41"
66,0x,3.17%,$0.3928,"$82,502,316.44"
67,NEAR Protocol,0.02%,$1.47,"$39,055,506.54"
68,ICON,2.08%,$0.4847,"$59,941,123.03"
69,TrueUSD,-0.05%,$0.9997,"$138,413,555.73"
70,Avalanche,0.20%,$3.47,"$36,997,984.54"
71,Ampleforth,-0.23%,$1.19,"$26,852,928.13"
72,Paxos Standard,-0.22%,$0.9987,"$158,491,598.37"
73,Qtum,2.77%,$2.47,"$399,600,227.83"
74,SwissBorg,-1.99%,$0.2569,"$4,378,737.63"
75,THORChain,-1.12%,$1.48,"$31,466,416.81"
76,Nano,-0.90%,$1.69,"$87,271,356.46"
77,Hedera Hashgraph,-1.25%,$0.03305,"$10,157,189.96"
78,Siacoin,2.32%,$0.004788,"$185,607,905.64"
79,HUSD,-0.07%,$0.9989,"$109,040,198.51"
80,Energy Web Token,-0.64%,$6.31,"$711,721.12"
81,Augur,-0.13%,$16.93,"$20,810,531.13"
82,TerraUSD,-0.28%,$0.9989,"$9,128,282.87"
83,ABBC Coin,-1.68%,$0.2133,"$30,862,761.10"
84,Celo,0.76%,$1.44,"$3,813,416.65"
85,Kyber Network,2.06%,$0.8286,"$44,341,281.33"
86,NXM,-3.65%,$28.67,"$19,189,736.51"
87,Ocean Protocol,-1.83%,$0.395,"$47,431,518.53"
88,Theta Fuel,-1.81%,$0.03195,"$16,841,954.79"
89,Lisk,2.15%,$1.21,"$6,105,452.28"
90,Bitcoin Gold,0.16%,$8.92,"$16,136,556.45"
91,Verge,-0.01%,$0.009488,"$25,034,768.45"
92,HedgeTrade,1.59%,$0.4528,"$243,834.26"
93,Horizen,-1.15%,$13.39,"$21,799,583.61"
94,Band Protocol,-1.36%,$6.71,"$148,338,974.43"
95,MaidSafeCoin,-0.58%,$0.3038,"$1,126,155.56"
96,Bancor,-1.40%,$1.39,"$40,126,923.55"
97,Quant,-4.07%,$10.82,"$2,929,901.22"
98,Holo,-0.82%,$0.0007529,"$46,271,739.65"
99,ZB Token,1.10%,$0.2728,"$15,882,964.11"
100,Gnosis,0.46%,$83.69,"$2,590,351.00"
101,CyberVein,0.00%,$0.1161,"$6,209,924.28"
102,Status,0.73%,$0.03496,"$19,569,361.64"
103,Aragon,0.19%,$3.06,"$18,935,376.38"
104,Decentraland,1.05%,$0.08142,"$30,341,186.53"
105,Enjin Coin,-0.01%,$0.1354,"$12,845,688.81"
106,Balancer,-0.67%,$15.55,"$76,106,640.75"
107,Ravencoin,0.33%,$0.01403,"$16,630,771.73"
108,Curve DAO Token,4.09%,$0.6723,"$68,729,991.76"
109,Numeraire,0.75%,$23.82,"$10,796,654.36"
110,Chiliz,-0.04%,$0.01953,"$65,270,056.98"
111,RSK Infrastructure Framework,-0.55%,$0.1557,"$2,446,067.60"
112,Solana,4.24%,$2.16,"$55,073,422.18"
113,Matic Network,0.17%,$0.01998,"$17,908,525.56"
114,MonaCoin,3.31%,$1.47,"$15,739,521.31"
115,Bitcoin Diamond,1.42%,$0.5061,"$3,897,282.08"
116,Nervos Network,1.71%,$0.003922,"$4,678,617.33"
117,DxChain Token,-0.95%,$0.001801,"$160,258.45"
118,IOST,0.70%,$0.005716,"$37,439,362.14"
119,Arweave,-1.01%,$2.57,"$3,844,010.24"
120,Kin,-0.49%,$0.0000565,"$510,155.10"
